"Qualified Product List","Product ID",Manufacturer,Brand,"Product Name","Model Number","Technical Requirements Version","DLC Family Code",Parent,"Controlled Environment","Lighting Scheme (Position)","Lighting Scheme (Use Case)","Input Power Type","Fixture Maximum Ambient Temp",Width,Height,Diameter,Warranty,Length,Notes,"Date Qualified","Date Delisted",Category,"Reported Minimum Input Voltage","Reported Maximum Input Voltage","Spectrally Tunable",Dimmable,"Reported Photosynthetic Photon Efficacy (400-700nm)","Reported Photosynthetic Photon Flux (400-700nm)","Reported Minimum Photosynthetic Photon Flux","Reported Default Photosynthetic Photon Flux","Reported Photon Flux Blue (400-500nm)","Reported Photon Flux Green (500-600nm)","Reported Photon Flux Red (600-700nm)","Reported Photon Flux Far Red (700-800nm)","Reported Photon Flux (280-800nm)","Reported Photon Efficacy (280-800nm)","Reported DC Photosynthetic Photon Efficacy (400-700nm)","Reported AC-Derated Photosynthetic Photon Efficacy (400-700nm)","Reported DC Photon Efficacy (280-800nm)","Reported AC-Derated Photon Efficacy (280-800nm)","Reported Beam Angle","Reported Field Angle","Tested Photosynthetic Photon Efficacy (400-700nm)","Tested Photosynthetic Photon Flux (400-700nm)","Tested Photon Flux Blue (400-500nm)","Tested Photon Flux Green (500-600nm)","Tested Photon Flux Red (600-700nm)","Tested Photon Flux Far Red (700-800nm)","Tested Photon Flux (280-800nm)","Tested Photon Efficacy (280-800nm)","Tested DC Photosynthetic Photon Efficacy (400-700nm)","Tested DC Photon Efficacy (280-800nm)","Reported Input Wattage","Reported Default Input Wattage","Reported Minimum Input Wattage","Reported Power Factor","Reported Total Harmonic Distortion","Reported DC Input Current","Reported AC-Derated Input Wattage","Power source loading percentage","Cabling loss example","Tested Input Wattage","Tested Voltage for Minimum Efficacy","Tested Power Factor","Tested Total Harmonic Distortion","Tested DC Input Current","Dimming and Control Method to the Product","Integral Control Capability","Connector or Transmission Hardware","0-10V ANSI C137.1 (8V)","0-10V ANSI C137.1 (9V)","0-10V IEC60929 Annex E","0-10V Other Protocol","Phase Cut (Forward Phase)","Phase Cut (Reverse Phase)",DALI,DALI-2,"Power Over Ethernet","Ethernet TCP/IP","Ethernet Proprietary","Other Wired Dimming and Control Method to the Product","Zigbee 3.0","Zigbee - Manufacturer Specific","Bluetooth Sig MESH and MMDL Layers","Bluetooth - Manufacturer Specific",Wi-Fi,EnOcean,"Other Wireless Dimming and Control Method to the Product",RJ-11,RJ-12,RJ-14,RJ-45,USB,"Flying Leads","Terminal Block","Other Wired Connector or Transmission Hardware","Wireless Radio","Infrared Receiver","Other Wireless Connector or Transmission Hardware","Dim to Off","Energy Monitoring","Manual Dimming","Actively Cooling Presence","Minimum Allowable Inlet Fluid Temperature","Maximum Allowable Inlet Fluid Temperature","Self-protect cut off temperature","Solution Concentration Restrictions","Tested Average Inlet Fluid Temp from LM-79 testing","Tested Maximum Inlet Fluid Temp from LM-79 testing","Tested Average Outlet Fluid Temperature","Tested Maximum Outlet Fluid Temperature","Tested Average Flow Rate from LM-79 Testing","Tested Maximum Flow Rate from LM-79 Testing","Tested Average Inlet Fluid Temp from ISTMT Testing","Tested Maximum Inlet Fluid Temp from ISTMT Testing","Tested Average Flow Rate from ISTMT Testing","Tested Maximum Flow rate from ISTMT Testing","Base Type","UL Type","Intended Mounting","Fan Presence","Effective Date"
Horticultural,H-Y10M1G,GML Solutions Ltd.,Grand Master LEDs,Tarantula Torch 730 HV,GMLL0730W6I1A17E2,3.0,RRRYCS,true,"Indoor (Non-stacked), Indoor (Stacked)",Top light,Sole-Source,AC,40,43.66,3.64,,5,44.4 in,,2024-02-27T05:00:00.000Z,,Horticultural Lighting Fixture,277,480,No,true,2.74,2032,0,2032,371,765,895,127,,,,,,,,,2.74,2023,371,765,895,127,,,,,741,741,0,0.994,3.6,,,,,741.2,277,0.994,3.6,,"[""0-10V IEC60929 Annex E"",""knob""]","[""Dim to Off"",""Manual Dimming""]",RJ-14,false,false,true,false,false,false,No,false,false,false,false,knob,false,false,false,false,false,false,,false,false,true,false,false,false,false,,false,false,,true,No,true,false,,,,,,,,,,,,,,,,,,false,2024-02-27
Horticultural,H-H6YPMZ,SpectraGrow Inc.,SpectraGrow™,SGL-SLIM,SGL-SLIM-60W-GP-UL-DC-WWW,3.0,IIIORY,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse","Top light, Intra-canopy","Sole-Source, Supplemental",DC,40,1.99,1.65,,5,45.6 in,,2024-03-11T00:00:00.000Z,,Horticultural Lighting Fixture,48,54,No,true,,153,0,153,30,29,94,1,154,,2.74,2.4,2.76,,,,,153,30,29,94,1,154,,2.74,2.76,56,55.8,0,,,1,64,,,55.82,50.7,,,1.1,DC input power,No,,false,false,false,false,false,false,No,false,false,false,false,DC input power,false,false,false,false,false,false,,false,false,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-11
Horticultural,H-RLB3VX,SpectraGrow Inc.,SpectraGrow™,SGL-SLIM,SGL-SLIM-60W-FR-UL-DC-WWW,3.0,IIIORZ,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse","Top light, Intra-canopy","Sole-Source, Supplemental",DC,40,1.99,1.65,,5,45.6 in,,2024-03-11T04:00:00.000Z,,Horticultural Lighting Fixture,48,54,No,true,,139,0,139.3,29,29,81,12,152,,2.5,2.19,2.72,,,,,139,29,29,81,12,152,,2.5,2.72,56,55.7,0,,,1,64,,,55.72,50.7,,,1.1,DC input power,No,,false,false,false,false,false,false,No,false,false,false,false,DC input power,false,false,false,false,false,false,,false,false,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-11
Horticultural,H-YR37P7,Shenzhen Number Energy Saving Corporation,NANOLUX,,LED SN720 Pro,3.0,FFFKHK,false,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,43.7,2.36,,5,44.4 in,,2024-03-22T04:00:00.000Z,,Horticultural Lighting Fixture,120,277,Yes,true,2.9,2232,223.2,2232,471,895,868,133,,,,,,,,,,,,,,,,,,,720,720,72,0.98,12,,,,,,,,,,0-10V IEC60929 Annex E,No,RJ-12,false,false,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,true,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-22
Horticultural,H-1HWPG9,Shenzhen Number Energy Saving Corporation,NANOLUX,,LED SN860 Pro,3.0,FFFKHK,false,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,43.7,2.36,,5,44.4 in,,2024-03-22T04:00:00.000Z,,Horticultural Lighting Fixture,120,277,Yes,true,2.9,2728,272.8,2728,596,1054,1079,144,,,,,,,,,,,,,,,,,,,860,860,86,0.984,12,,,,,,,,,,0-10V IEC60929 Annex E,No,RJ-12,false,false,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,true,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-22
Horticultural,H-JRH8ZX,Shenzhen Number Energy Saving Corporation,NANOLUX,,LED SN630 Pro,3.0,FFFKHK,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,43.7,2.36,,5,44.4 in,,2024-03-22T04:00:00.000Z,,Horticultural Lighting Fixture,120,277,Yes,true,2.9,1955,195.5,1955,421,771,765,112,,,,,,,,,2.9,1955,421,771,765,112,,,,,630,630,63,0.974,10,,,,,674.4,120,0.974,10.4,,0-10V IEC60929 Annex E,No,RJ-12,false,false,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,true,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-22
Horticultural,H-S5GL2R,Shenzhen Number Energy Saving Corporation,NANOLUX,,LED SN1200 Pro,3.0,FFFKHK,false,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,43.7,2.36,,5,44.4 in,,2024-03-22T04:00:00.000Z,,Horticultural Lighting Fixture,120,277,Yes,true,2.9,3512,351.2,3512,793,1331,1390,172,,,,,,,,,,,,,,,,,,,1200,1200,120,0.993,9,,,,,,,,,,0-10V IEC60929 Annex E,No,RJ-12,false,false,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,true,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-22
Horticultural,H-0G3HG7,Shenzhen Number Energy Saving Corporation,NANOLUX,,LED SN1000 Pro,3.0,FFFKHK,false,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,43.7,2.36,,5,44.4 in,,2024-03-22T04:00:00.000Z,,Horticultural Lighting Fixture,120,277,Yes,true,2.9,3114,311.4,3114,661,1245,1210,149,,,,,,,,,,,,,,,,,,,1000,1000,100,0.988,8,,,,,,,,,,0-10V IEC60929 Annex E,No,RJ-12,false,false,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,true,false,false,false,false,false,,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-03-22
Horticultural,H-XV5M01,Fluence Bioengineering,Fluence,SPYDR,"SR-2I47-I-[HV,HVG]-[Blank,XXX]-[S,B,R]",3.0,WWWXUG,false,"Indoor (Non-stacked), Indoor (Stacked)",Top light,Sole-Source,AC,35,42.8,4,,5,46.8 in,,2024-02-28T05:00:00.000Z,,Horticultural Lighting Fixture,277,480,No,true,2.66,1702,0,1701.9,302,707,692,39,1742,2.73,,,,,,,,,,,,,,,,,639,639,1W,0.996,7,,,,,,,,,,0-10V Other Protocol,Dim to Off,M12,false,false,false,true,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,M12,false,false,,true,No,false,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-04-18
Horticultural,H-HD46D5,Sollum technologies,Sollum Technologies,SF-05B,SF-05B-WWX,3.0,UUUVTG,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",DC,35,3.82,5.7,,5,27.6 in,,2024-09-09T00:00:00.000Z,,Horticultural Lighting Fixture,54,54,Yes,true,,940,0,940,145,374,421,37,977,,2.51,2.3,2.61,,120,,,940,145,374,421,37,,,2.34,,375,375,5,,,6.9,404.2,AC-derated performance is 92.78% efficiency at 99.39% loading on a 405W power source at 277V,1 372.7W fixtures operating at 54V Series-wired with 2.62 feet of 14 AWG cabling to a 405W power source limits cabling losses to 0.10%,372.7,54,0.998,8.7,6.902,"Yes, proprietary protocol","[""Energy Monitoring"",""Dim to Off""]","Yes, proprietary connector",false,false,false,false,false,false,No,false,false,false,false,"Yes, proprietary protocol",false,false,false,false,false,false,,false,false,false,false,false,false,false,"Yes, proprietary connector",false,false,,true,Yes,false,false,,,,,,,,,,,,,,,,,,false,2024-09-09
Horticultural,H-CTTPYG,Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1850 DRW_LB 200-400V 1.3D SB SP,3.0,RRRYIC,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,40,9.4,3.5,,5,28.8 in,,2024-07-31T00:00:00.000Z,,Horticultural Lighting Fixture,200,400,No,true,3.63,1850,185,1850,107,102,1641,,1850,3.63,,,,,,,3.67,1866,107,107,1652,12,1880,3.7,,,510,510,49,0.98,15,,,,,508.2,200,0.99,10,,"[""Power Line Communication"",""No""]",No,"[""Mains Cable + Wieland Connector"",""No""]",false,false,false,false,false,false,No,false,false,false,false,Power Line Communication,false,false,false,false,false,false,No,false,false,false,false,false,false,false,Mains Cable + Wieland Connector,false,false,No,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-07-31
Horticultural,H-CPKTM1,Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2420 DRW LB 277-400V 1.3D SB SP,3.0,RRRYIC,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,40,9.4,3.5,,5,28.8 in,,2024-07-31T00:00:00.000Z,,Horticultural Lighting Fixture,277,400,No,true,3.36,2420,242,2420,140,133,2147,,2420,3.36,,,,,,,3.46,2449,134,138,2178,18,2471,3.5,,,720,720,62,0.98,15,,,,,707,277,0.99,8.2,,"[""Power Line Communication"",""No""]",No,"[""Mains Cable + Wieland Connector"",""No""]",false,false,false,false,false,false,No,false,false,false,false,Power Line Communication,false,false,false,false,false,false,No,false,false,false,false,false,false,false,Mains Cable + Wieland Connector,false,false,No,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-07-31
Horticultural,H-K5FM86,Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2600 DRW_LB 277-400V 1.3D SB SP,3.0,RRRYIC,false,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,40,9.4,3.5,,5,28.8 in,,2024-07-31T00:00:00.000Z,,Horticultural Lighting Fixture,277,400,No,true,3.38,2600,260,2600,151,143,2306,,2600,3.38,,,,,,,,,,,,,,,,,770,770,66,0.98,15,,,,,,,,,,"[""Power Line Communication"",""No""]",No,"[""Mains Cable + Wieland Connector"",""No""]",false,false,false,false,false,false,No,false,false,false,false,Power Line Communication,false,false,false,false,false,false,No,false,false,false,false,false,false,false,Mains Cable + Wieland Connector,false,false,No,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-07-31
Horticultural,H-C7BNW2,Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 2225 DRW2_LB 277-400V 1.3D WB SP,3.0,RRRYIC,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,40,9.4,3.5,,5,28.8 in,,2024-07-31T00:00:00.000Z,,Horticultural Lighting Fixture,277,400,No,true,3.45,2225,222.5,2225,111,200,1914,,2225,3.45,,,,,,,3.43,2212,104,189,1919,19,2235,3.47,,,645,645,59,0.98,15,,,,,644,277,0.99,9.1,,"[""Power Line Communication"",""No""]",No,"[""Mains Cable + Wieland Connector"",""No""]",false,false,false,false,false,false,No,false,false,false,false,Power Line Communication,false,false,false,false,false,false,No,false,false,false,false,false,false,false,Mains Cable + Wieland Connector,false,false,No,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-07-31
Horticultural,H-35VC7N,Thrive Agritech,Thrive Agritech,Pinnacle HP,PCL-840W-FS2,3.0,FFFKRZ,true,"Indoor (Non-stacked), Indoor (Stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,8,4.4,,5,43.2 in,,2024-08-08T00:00:00.000Z,,Horticultural Lighting Fixture,120,277,No,true,2.42,2123,212.3,2123.3,328,833,962,51,2173,2.48,,,,,,,2.42,2123,328,833,962,51,2174,2.65,,,877.2,877.2,87.7,0.976,10,,,,,819.82,120,0.996,8.5,,"[""0-10V IEC60929 Annex E"",""0-10V ANSI C137.1 (8V)"",""0-10V ANSI C137.1 (9V)""]",No,Thrive Agritech Controller p/n CNTRL-V2,true,true,true,false,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,Thrive Agritech Controller p/n CNTRL-V2,false,false,,false,No,false,false,,,,,,,,,,,,,,,,,,false,2024-08-08
Horticultural,H-QL7PRH,Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 PKF [MVOLT, XVOLT] GZ10 XWD [All Options]",3.0,EAEGEW,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,10.9,5.7,,5,24.0 in,,2024-09-13T00:00:00.000Z,,Horticultural Lighting Fixture,120,480,No,true,2.81,1764,0,1763.8,143,283,1338,117,1882,2.99,,,,,,,2.81,1764,143,283,1338,117,1882,2.99,,,629,629,1.5,0.9,9,,,,,628.63,120,0.968,8.4,,0-10V Other Protocol,Dim to Off,VACNPQDLV3FT Dimming Cable,false,false,false,true,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,VACNPQDLV3FT Dimming Cable,false,false,,true,No,false,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-09-13
Horticultural,H-99N1YL,Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 PKT [MVOLT, XVOLT] GZ10 XWD [All Options]",3.0,EAEGEW,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,10.9,5.7,,5,24.0 in,,2024-09-13T00:00:00.000Z,,Horticultural Lighting Fixture,120,480,No,true,3.12,2046,0,2045.9,81,159,1806,9,2055,3.14,,,,,,,3.12,2046,81,159,1806,9,2055,3.12,,,655,655,1.5,0.9,9,,,,,655.04,120,0.97,7.7,,0-10V Other Protocol,Dim to Off,VACNPQDLV3FT Dimming Cable,false,false,false,true,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,VACNPQDLV3FT Dimming Cable,false,false,,true,No,false,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-09-13
Horticultural,H-44BR72,Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 PKB [MVOLT, XVOLT] GZ10 XWD [All Options]",3.0,EAEGEW,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,10.9,5.7,,5,24.0 in,,2024-09-13T00:00:00.000Z,,Horticultural Lighting Fixture,120,480,No,true,2.92,1919,0,1919.4,275,283,1361,9,1929,2.94,,,,,,,2.92,1919,275,283,1361,9,1929,2.94,,,657,657,1.5,0.9,9,,,,,657.37,120,0.97,8.2,,0-10V Other Protocol,Dim to Off,VACNPQDLV3FT Dimming Cable,false,false,false,true,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,VACNPQDLV3FT Dimming Cable,false,false,,true,No,false,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-09-13
Horticultural,H-Y9525F,Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 BRI [MVOLT, XVOLT] GZ10 XWD [All Options]",3.0,EAEGEW,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,10.9,5.7,,5,24.0 in,,2024-09-13T00:00:00.000Z,,Horticultural Lighting Fixture,120,480,No,true,2.55,1767,0,1766.8,317,577,873,15,1782,2.57,,,,,,,2.55,1767,317,577,873,15,1782,2.57,,,693,693,1.5,0.9,9,,,,,693.13,120,0.972,7.8,,0-10V Other Protocol,Dim to Off,VACNPQDLV3FT Dimming Cable,false,false,false,true,false,false,No,false,false,false,false,,false,false,false,false,false,false,,false,false,false,false,false,false,false,VACNPQDLV3FT Dimming Cable,false,false,,true,No,false,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-09-13
Horticultural,H-DWL12T,Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 PKR [MVOLT, XVOLT] GZ10 XWD [All Options]",3.0,EAEGEW,true,"Indoor (Non-stacked), Greenhouse",Top light,"Sole-Source, Supplemental",AC,35,10.9,5.7,,5,24.0 in,,2024-09-30T00:00:00.000Z,,Horticultural Lighting Fixture,120,480,No,,3.01,1901,,,143,283,1475,10,1911,3.03,,,,,,,3.01,1901,143,283,1475,10,1911,3.03,,,631,,,0.9,9,,,,,631.08,120,0.968,8,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,Horizontal,false,2024-09-30
